aan de grond;abnormal
aftrekken;allegation
aftrekking;allegations
afval;allege
afvaller;allergic
afvallers;allergies
afvoeren;allergy
afvoerend;aloof
afvoert;altercation
afwezig;ambiguity
afwezige;ambiguous
afwezigheid;ambivalence
afwijken;ambivalent
afwijking;ambush
afwijzen;amiss
afwijzend;amputate
afwijzing;anarchism
afzweren;anarchist
afzwering;anarchistic
agressie;anarchy
agressief;anemic
agressiviteit;anger
agressor;angrily
alarm;angriness
alarmerend;angry
alledaags;anguish
alleen;animosity
allergisch;annihilate
ambivalent;annihilation
ambivalentie;annoy
amputeren;annoyance
anarchie;annoyances
anemisch;annoyed
angst;annoying
angstaanjagend;annoyingly
angsten;annoys
angstgevoelens;anomalous
angstig;anomaly
anomaal;antagonism
anomalie;antagonist
antagoniseren;antagonistic
antagonisme;antagonize
antagonist;anti-
antagonistisch;anti-american
antipathie;anti-israeli
antisociaal;anti-occupation
apathie;antipathy
apathisch;anti-proliferation
apocalyps;antiquated
apocalyptisch;anti-semites
apologeet;anti-social
apologeten;antithetical
argumentatief;anti-us
arm;anti-white
arme;anxieties
armer;anxiety
armoede;anxious
armoedig;anxiously
armst;anxiousness
armzalig;apathetic
arrogant;apathetically
arrogantie;apathy
ass;apocalypse
autocraat;apocalyptic
autocratisch;apologist
autoritair;apologists
baanvernietigend;appal
babbelen;appall
banaal;appalled
banaliseren;appalling
bang;appallingly
bankroet;apprehension
barbaar;apprehensions
barbaars;apprehensive
barbaarsheid;apprehensively
barbarij;arbitrary
barst;arcane
barsten;archaic
bedacht;arduous
bedekkerig;arduously
bedelaar;argumentative
bedelen;arrogance
bedelend;arrogant
bedenken;arrogantly
bederf;ashamed
bederfd;asinine
bedreigen;asininely
bedriegen;asinininity
bedriegend;askance
bedrieger;asperse
bedriegers;aspersion
bedrieglijk;aspersions
bedriegt;assail
bedroefd;assassin
bedrog;assassinate
bedrogen;assault
bedwelmen;assult
beeld;astray
beerachtig;asunder
beestachtig;atrocious
behendig;atrocities
behoeden;atrocity
behoeftig;atrophy
behoeftigheid;attack
bekennen;attacks
bekentenis;audacious
bekentenissen;audaciously
beklaagt;audaciousness
bekladden;audacity
beklag;audiciously
beklagelijk;austere
beklagenswaardig;authoritarian
beklemd;autocrat
bekoren;autocratic
bekritiseerd;avalanche
bekritiseren;avarice
bekritiserend;avaricious
belachelijk;avariciously
belastend;avenge
belasteren;averse
beledigd;aversion
beledigen;aweful
beledigend;awful
beledigendheid;awfully
belediging;awfulness
beledigingen;awkward
beledigt;awkwardness
beleger;babble
belegeren;backache
belegering;backaches
belemmerd;backaching
belemmeren;backbite
belemmerend;backbiting
belemmering;back-logged
bemoeial;backward
bemoeien;backwardness
bemoeienis;backwood
bemoeizuchtig;back-wood
benadeeld;backwoods
benard;back-woods
benauwd;bad
beperken;badly
beperkend;baffle
beperking;baffled
beperkingen;bafflement
beperkt;baffling
beproeving;bait
berispen;balk
berispend;banal
berisping;banalize
berispt;bane
berisptend;banish
beroofd;banishment
berouw;bankrupt
berouwloos;barbarian
berouwloosheid;barbaric
berouwvol;barbarically
beroven;barbarity
berucht;barbarous
beschaamd;barbarously
beschadigd;barren
beschamend;baseless
beschamendheid;bash
beschuldigen;bashed
beschuldigend;bashful
beschuldiging;bashing
beschuldigingen;bastard
beschuldigt;bastards
besmet;battered
besmettelijk;battering
besmetten;batty
besmetting;bearish
besmeuren;beastly
bespot;bedlam
bespotte;bedlamite
bespottelijk;befoul
bespotten;beg
bespotting;beggar
bespottingen;beggarly
bestormen;begging
bestraffen;beguile
bestraffend;belabor
bestrijden;belated
betekenisloos;beleaguer
betoveren;belie
betovering;belittle
betrekken;belittled
betreuren;belittling
betreurenswaardig;bellicose
betuttelen;belligerence
betwistbaar;belligerent
betwisten;belligerently
betwisting;bemoan
beukend;bemoaning
bevlekken;bemused
bevlekt;bent
bevooroordeeld;berate
bevriezen;bereave
bevriezend;bereavement
bevroren;bereft
bevuild;berserk
bevuilen;beseech
bevuiler;beset
bewaken;besiege
bewegingloos;besmirch
beweren;bestial
bewolking;betray
bewolkt;betrayal
bezoedelen;betrayals
bezoedelend;betrayer
bezorgd;betraying
bezorgdheden;betrays
bezorgdheid;bewail
bezwaar;beware
bezwaarlijk;bewilder
bezwaren;bewildered
bezwarend;bewildering
bezweren;bewilderingly
bezwijken;bewilderment
biedingsfraude;bewitch
bijgeloof;biased
bijgelovig;biases
bijl;bicker
bijtend;bickering
binnendringen;bid-rigging
bitch;bigotries
bitter;bigotry
bitterheid;bitch
bizar;bitchy
blaar;biting
blauw;bitingly
blauwe;bitter
blauwe plek;bitterly
blauwe plekken;bitterness
bleek;bizarre
bleekt;blab
blik;blabber
bliksem;blackmail
bliksems;blah
blind;blame
bloedarmoedig;blameworthy
bloedbad;bland
bloedbaden;blandish
bloeddorst;blaspheme
bloeddorstig;blasphemous
bloeden;blasphemy
bloedend;blasted
bloederig;blatant
bloedig;blatantly
bloedt;blather
bloedvergieten;bleak
bloedzuiger;bleakly
blokkade;bleakness
blunder;bleed
blunderend;bleeding
blunders;bleeds
blurt;blemish
blut;blind
boef;blinding
bom;blindingly
bombardement;blindside
bombarderen;blister
bont;blistering
boos;bloated
boosaardig;blockage
boosaardigheid;blockhead
boosdoener;bloodshed
boosheid;bloodthirsty
booswicht;bloody
booswichten;blotchy
borstels;blow
bot;blunder
botsen;blundering
botsing;blunders
botst;blunt
braakte;blur
brabbelen;bluring
braken;blurred
branden;blurring
brandend;blurry
brandnetel;blurs
brandnetelachtig;blurt
brandstichtend;boastful
brandwonden;boggle
bravour;bogus
bravoure;boil
breekt;boiling
breken;boisterous
brekend;bomb
breugel;bombard
breuk;bombardment
breuken;bombastic
broddelaar;bondage
broddelend;bonkers
broeden;bore
broeikas;bored
broeinesten;boredom
broos;bores
brutaal;boring
brutaalheid;botch
brutaliseren;bother
brutaliserend;bothered
brutaliteit;bothering
bruusk;bothers
bruut;bothersome
buitensporig;bowdlerize
buitensporige;boycott
buitensporigheid;braggart
buitenstaander;bragger
bust;brainless
busts;brainwash
byzantijns;brash
capituleren;brashly
cartoonesk;brashness
castreren;brat
cataclysme;bravado
catastrofaal;brazen
catastrofe;brazenly
catastrofes;brazenness
censureren;breach
chagrijnig;break
chagrijniger;breakdown
chagrijnigste;breaking
chantage;breaks
chaos;breakup
chaotisch;break-up
cheesy;breakups
cholerisch;break-ups
chronisch;bribery
cliché;brimstone
commotie;bristle
complex;brittle
complicatie;broke
complot;broken
concessie;broken-hearted
concessies;brood
concurrerend;browbeat
conflict;bruise
conflicten;bruised
conflicterend;bruises
confrontatie;bruising
confronteren;brusque
confronterend;brutal
cons;brutalising
conscons;brutalities
conservatief;brutality
consternatie;brutalize
contraproductief;brutalizing
controverse;brutally
controversieel;brute
corroderen;brutish
corrosie;bs
corrosief;buckle
corrosies;bug
corrumpeert;bugging
corrumperend;buggy
corrupt;bugs
corrupteert;bulkier
corrupterend;bulkiness
corruptie;bulky
coupisten;bulkyness
crash;bullies
crashend;bullshit
crimineel;bullshyt
crisis;bully
critici;bullying
criticus;bullyingly
cynisch;bum
cynisme;bump
dader;bumped
dagvaarding;bumping
dagvaardingen;bumpping
dampen;bumps
debacle;bumpy
decadent;bungle
decadentie;bungler
defect;bungling
defecten;bunk
defensief;burden
degeneratie;burdensome
degenereren;burdensomely
degradatie;burn
degraderen;burned
dehumaniseren;burning
dehumanisering;burns
delinquent;bust
delinquentie;busts
delirisch;busybody
delirium;butcher
demon;butchery
demonisch;buzzing
demoniseert;byzantine
demoniseren;cackle
demoniserend;calamities
demoon;calamitous
demoraliseren;calamitously
demoraliserend;calamity
demper;callous
denigativiteit;calumniate
denigreren;calumniation
depressie;calumnies
depressief;calumnious
depressies;calumniously
deprimeren;calumny
deprimerend;cancer
desertie;cancerous
desintegratie;cannibal
desintegreert;cannibalize
desintegreren;capitulate
desoriënteren;capricious
desperaat;capriciously
despoot;capriciousness
despotisch;capsize
despotisme;careless
destabilisatie;carelessness
destructief;caricature
deuk;carnage
deuken;carp
diabolisch;cartoonish
diameter;cash-strapped
dicht;castigate
dictator;castrated
dictatoriaal;casualty
diehard;cataclysm
dik;cataclysmal
dikke;cataclysmic
dikker;cataclysmically
dilemma;catastrophe
dimmer;catastrophes
discontinu;catastrophic
discontinuïteit;catastrophically
discrepant;catastrophies
discriminatie;caustic
discriminatoir;caustically
discrimineren;cautionary
dissident;cave
dissidenten;censure
dissonant;chafe
dissonantie;chaff
divergent;chagrin
diversen;challenging
dodelijk;chaos
doden;chaotic
dodend;chasten
doelloos;chastise
dogmatisch;chastisement
dolk;chatter
dom;chatterbox
domheid;cheap
dominant;cheapen
domkop;cheaply
domste;cheat
donker;cheated
donkerder;cheater
dood;cheating
dood gewicht;cheats
doodlopend;checkered
doodt;cheerless
doorgezakt;cheesy
doorn;chide
doornig;childish
doorzakken;chill
doorzakkend;chilly
dope;chintzy
dorst;choke
draaien;choleric
draak;choppy
draconisch;chore
drastisch;chronic
dreigend;chunky
dreigende;clamor
dreiging;clamorous
dreigingen;clash
droefheid;cliche
dronken;cliched
droog;clique
droogte;clog
druipend;clogged
druk;clogs
drukte;cloud
druppels;clouding
dubbelzinnig;cloudy
dubbelzinnigheid;clueless
dubieus;clumsy
duidelijk;clunky
duister;coarse
duisterheid;cocky
duisternis;coerce
duivel;coercion
duivels;coercive
duivelsachtig;cold
duivelsheid;coldly
duivelskunst;collapse
duizelig;collude
duizelingwekkend;collusion
dun;combative
duur;combust
duurder;comical
dwaas;commiserate
dwaasheid;commonplace
dwalen;commotion
dwalend;commotions
dwang;complacent
dwangmatig;complain
dwarsbomen;complained
dwerg;complaining
dwingen;complains
dwingend;complaint
eenling;complaints
eentonig;complex
eentonigheid;complicated
eenzaam;complication
eenzaamheid;complicit
eenzijdig;compulsion
egocentrisch;compulsive
egoïsme;concede
egoïstisch;conceded
egomanie;conceit
eigenbelang;conceited
eigendomsrechtelijk;concen
eigenwijs;concens
eigenzinnig;concern
eikel;concerned
eikels;concerns
einde;concession
eliminatie;concessions
elkaar;condemn
ellende;condemnable
ellendig;condemnation
ellendigheid;condemned
eng;condemns
enge;condescend
engeste;condescending
ent;condescendingly
enten;condescension
epidemie;confess
erger;confession
ergeren;confessions
ergerend;confined
ergerlijk;conflict
ergernis;conflicted
ergernissen;conflicting
ergste;conflicts
ernst;confound
ernstig;confounded
erodeert;confounding
eroderen;confront
erosie;confrontation
excentriciteit;confrontational
excentriek;confuse
excuseer;confused
excuses;confuses
exploderen;confusing
explosief;confusion
extravagant;confusions
extravagantie;congested
extreem;congestion
extremisme;cons
extremist;conscons
extremisten;conservative
fabricatie;conspicuous
fabriceren;conspicuously
failliet;conspiracies
falen;conspiracy
fanaticus;conspirator
fanatiek;conspiratorial
fanatiekelingen;conspire
fanatisme;consternation
farce;contagious
farceachtig;contaminate
farceachtig-maar-provocatief;contaminated
fascisme;contaminates
fascist;contaminating
fataal;contamination
fatalistisch;contempt
feeks;contemptible
feilloos;contemptuous
fiasco;contemptuously
fictie;contend
fictief;contention
flagrant;contentious
flair;contort
flare;contortions
flares;contradict
flauw;contradiction
flauwvallen;contradictory
flikkerend;contrariness
flikkert;contravene
flirterig;contrive
fobie;contrived
fobisch;controversial
fout;controversy
fouten;convoluted
foutief;corrode
fragiel;corrosion
fraude;corrosions
frauderen;corrosive
frauderend;corrupt
frauduleus;corrupted
freak;corrupting
freakachtig;corruption
freaks;corrupts
frons;corruptted
fronsen;costlier
frustratie;costly
frustraties;counterproductive
frustreert;counter-productive
frustreren;coupists
frustrerend;covetous
fuck;coward
fucking;cowardly
fudge;crabby
fugitief;crack
fulmineren;cracked
fundamentalisme;cracks
funky;craftily
furie;craftly
furor;crafty
fustigeren;cramp
futiliteit;cramped
futloos;cramping
gal;cranky
gals;crap
gangster;crappy
gapen;craps
gealarmeerd;crash
gebabbel;crashed
gebakken;crashes
gebarsten;crashing
gebeukt;crass
gebieden;craven
gebliksemd;cravenly
geblokkeerd;craze
gebogen;crazily
gebotst;craziness
gebrabbel;crazy
gebraden;creak
gebrek;creaking
gebreken;creaks
gebrekkig;credulous
gebroken;creep
gecastreerd;creeping
geclicheerd;creeps
gecompliceerd;creepy
gecorrumpeerd;crept
gedegenereerd;crime
gedemoniseerd;criminal
gedeprimeerd;cringe
gedesintegreerd;cringed
gedesoriënteerd;cringes
gedeukt;cripple
gedoe;crippled
gedoemd;cripples
gedood;crippling
gedraaid;crisis
gedruppeld;critic
gedumpt;critical
geelzuchtig;criticism
geen;criticisms
geen zak aan;criticize
geërgerd;criticized
gefragmenteerd;criticizing
gefrustreerd;critics
gegil;cronyism
gehaat;crook
gehandicapt;crooked
gehard;crooks
geharkt;crowded
gehavend;crowdedness
geheimzinnig;crude
gehobbeld;cruel
geïmmobiliseerd;crueler
geïrriteerd;cruelest
geïsoleerd;cruelly
gejaagd;cruelness
gek;cruelties
gekakel;cruelty
gekarteld;crumble
gekheid;crumbling
gekibbel;crummy
gekkie;crumple
geklaag;crumpled
geklaagd;crumples
geklets;crush
gekneusd;crushed
geknoopt;crushing
gekrabt;cry
gekrompen;culpable
gekunsteld;culprit
gekweld;cumbersome
gekwetsd;cunt
gekwetst;cunts
geldgebrek;cuplrit
gelogen;curse
geloven;cursed
geluid;curses
gemeden;curt
gemeen;cuss
gemeenheid;cussed
gemist;cutthroat
genadeloos;cynical
gênant;cynicism
genocide;d*mn
geofferd;damage
geordend;damaged
gepest;damages
geplaagd;damaging
geplaagt;damn
geplette;damnable
geprotesteerd;damnably
gerateld;damnation
gerimpeld;damned
gerrommel;damning
gerucht;damper
geruchten;danger
geruit;dangerous
geschaad;dangerousness
geschandaald;dark
gescheurd;darken
geschil;darkened
geschild;darker
geschokt;darkness
geschreeuw;dastard
geschrokken;dastardly
gesel;daunt
gesist;daunting
geslacht;dauntingly
geslagen;dawdle
gesleept;daze
geslopen;dazed
gespannen;dead
gestaking;deadbeat
gestolen;deadlock
gestoord;deadly
gestopt;deadweight
gestorven;deaf
gestoten;dearth
gestrand;death
gestreept;debacle
gestresst;debase
gestruikeld;debasement
getankt;debaser
geteisterd;debatable
getekend;debauch
getraumatiseerd;debaucher
getroffen;debauchery
getto;debilitate
geur;debilitating
geurtjes;debility
gevaar;debt
gevaarlijk;debts
gevaarlijkheid;decadence
gevallen;decadent
gevangen;decay
gevangene;decayed
gevangenis;deceit
gevangenisstraf;deceitful
geviezer;deceitfully
gevoelig;deceitfulness
gewaarschuwd;deceive
geweigerd;deceiver
gewelddadig;deceivers
gewetenloos;deceiving
gewoel;deception
gewond;deceptive
gezogen;deceptively
ghetto;declaim
gierig;decline
gierigaard;declines
gif;declining
giftig;decrement
gijzelaar;decrepit
gillen;decrepitude
glad;decry
glibbering;defamation
glinsteren;defamations
glunderend;defamatory
gluurder;defame
gluurderig;defect
goddeloos;defective
godslastering;defects
godslasterlijk;defensive
godvergeten;defiance
goedgelovig;defiant
goedkoop;defiantly
gonzend;deficiencies
goot;deficiency
graceloos;deficient
grap;defile
grappenmaker;defiler
grappig;deform
grief;deformed
grieven;defrauding
grievend;defunct
griezelig;defy
grijpen;degenerate
grillig;degenerately
grilligheid;degeneration
grimlach;degradation
grimmig;degrade
grimsgezicht;degrading
grof;degradingly
groffe;dehumanization
grofheid;dehumanize
grom;deign
grot;deject
groter;dejected
grotesk;dejectedly
gruwel;dejection
gruweldaad;delay
gruweldaden;delaying
gruwelijk;delays
haag;delinquency
haai;delinquent
haaruitval;delirious
haast;delirium
haastig;delude
haat;deluded
haatdragend;deluge
haatte;delusion
haatvol;delusional
haatvolheid;delusions
hacken;demean
hacks;demeaning
hakkelig;demise
half-achterlijk;demolish
halfslachtig;demolisher
hallucinatie;demon
hallucineren;demonic
handlanger;demonize
handlangers;demonized
hangen;demonizes
hangt;demonizing
har;demoralize
hard;demoralizing
hardball;demoralizingly
harde;denial
hardhandig;denied
hardliner;denies
hardliners;denigrate
hardnekkig;denounce
hardvochtig;dense
harpij;dent
hartbreker;dented
hartbroken;dents
harteloos;denunciate
hartgebroken;denunciation
hartverscheurend;denunciations
haten;deny
hatend;denying
hater;deplete
haters;deplorable
haveloos;deplorably
hebzucht;deplore
hebzuchtig;deploring
hectisch;deploringly
hedonistisch;deprave
heerser;depraved
heerszuchtig;depravedly
hegemonie;deprecate
heidens;depress
hel;depressed
helldier;depressing
hels;depressingly
herhalend;depression
herrijzend;depressions
herroepen;deprive
hersenloos;deprived
hersenspoelen;deride
hersenspoeling;derision
hevig;derisive
hijgen;derisively
hijgend;derisiveness
hilarisch;derogatory
hinderlaag;desecrate
hinderlijk;desert
hobbel;desertion
hobbelend;desiccate
hobbelig;desiccated
hoer;desititute
hoeren;desolate
hohum;desolately
hol;desolation
hongersnood;despair
hoofdpijn;despairing
hooghartig;despairingly
hoogmoedig;desperate
hooligan;desperately
hopeloos;desperation
hopeloosheid;despicable
horde;despicably
huil;despise
huilen;despised
huilend;despoil
hulpeloos;despoiler
hulpeloosheid;despondence
humeurig;despondency
hype;despondent
hypocriet;despondently
hypocrieten;despot
hypocrisie;despotic
hysterie;despotism
hysterisch;destabilisation
idee;destains
idioot;destitute
idiootisch;destitution
idioten;destroy
ijdel;destroyer
ijdelheid;destruction
ijlen;destructive
ijlend;desultory
ijzig;deter
illegaal;deteriorate
illogica;deteriorating
illogisch;deterioration
illusie;deterrent
illusies;detest
illusoir;detestable
imaginair;detestably
imbeciel;detested
immaterieel;detesting
immoraliteit;detests
immoreel;detract
imperialistisch;detracted
implicatie;detracting
imploderen;detraction
impulsief;detracts
in conflict;detriment
inactief;detrimental
inbreken;devastate
inbreuk;devastated
inbreuken;devastates
incoherent;devastating
incoherentie;devastatingly
incompatibel;devastation
incompatibiliteit;deviate
incongruent;deviation
inconsistentie;devil
inconsistenties;devilish
indoctrinatie;devilishly
indoctrineren;devilment
indringer;devilry
indringing;devious
ineenkrimpen;deviously
ineenkrimpte;deviousness
ineenstorting;devoid
ineffectief;diabolic
ineffectiviteit;diabolical
inefficiënt;diabolically
inefficiëntie;diametrically
infectie;diappointed
infecties;diatribe
inferieur;diatribes
inferioriteit;dick
infiltranten;dictator
infiltrator;dictatorial
inflatoir;die
ingewikkeld;died
inlichtingen;die-hard
inperken;dies
inprenten;difficult
insect;difficulties
insecten;difficulty
insinuatie;diffidence
insinueren;dilapidated
insolvent;dilemma
inspannend;dilly-dally
instabiel;dim
instabiliteit;dimmer
instorten;din
instorting;ding
intensief;dings
intimidatie;dinky
intimideren;dire
intimiderend;direly
intolerantie;direness
intrekken;dirt
invasief;dirtbag
inzakken;dirtbags
inzinking;dirts
ironie;dirty
ironisch;disable
ironische;disabled
irrationaliteit;disaccord
irrationaliteiten;disadvantage
irrationeel;disadvantaged
irrelevant;disadvantageous
irrelevantie;disadvantages
irretrierend;disaffect
irritant;disaffected
irritatie;disaffirm
irritaties;disagree
irriteert;disagreeable
irriteren;disagreeably
irriterend;disagreed
isolatie;disagreeing
isoleren;disagreement
jaloers;disagrees
jaloersheid;disallow
jaloezie;disapointed
jammer;disapointing
jammeren;disapointment
jammerend;disappoint
janken;disappointed
jankend;disappointing
jeuk;disappointingly
jeukend;disappointment
kaal;disappointments
kabaal;disappoints
kakelen;disapprobation
kanker;disapproval
kankerachtig;disapprove
kannibaal;disapproving
kannibaliseren;disarm
kapituleren;disarray
kapot;disaster
kapseizen;disasterous
karikaturaal;disastrous
karikatuur;disastrously
karper;disavow
karwei;disavowal
kattig;disbelief
kazig;disbelieve
kerker;disbeliever
kerkers;disclaim
ketter;discombobulate
ketterij;discomfit
ketters;discomfititure
kibbelen;discomfort
kieskeurig;discompose
kil;disconcert
kilte;disconcerted
kinderachtig;disconcerting
klaagt;disconcertingly
klaagzang;disconsolate
klacht;disconsolately
klachten;disconsolation
klagen;discontent
klagend;discontented
klap;discontentedly
klein;discontinued
klein gemaakt;discontinuity
klein maken;discontinuous
klein makend;discord
kleineren;discordance
kleinerend;discordant
kletsen;discountenance
kletskous;discourage
kliek;discouragement
klonterig;discouraging
klootzak;discouragingly
klootzakken;discourteous
kloppen;discourteously
kloppend;discoutinous
klopt;discredit
klopte;discrepant
klungel;discriminate
klungelaar;discrimination
klungelen;discriminatory
klungelig;disdain
klusje;disdained
knagen;disdainful
knagend;disdainfully
knal;disfavor
knarsen;disgrace
knettergek;disgraced
kneuzing;disgraceful
kneuzingen;disgracefully
knijpen;disgruntle
knoeien;disgruntled
knoeiwerk;disgust
knorren;disgusted
knorrig;disgustedly
koel;disgustful
koken;disgustfully
kokend;disgusting
komisch;disgustingly
koorts;dishearten
koortsachtig;disheartening
koortsen;dishearteningly
koppig;dishonest
korrelig;dishonestly
kort;dishonesty
kortaf;dishonor
kortheid;dishonorable
kortstondig;dishonorablely
kortzichtig;disillusion
kortzichtigheid;disillusioned
kostbaar;disillusionment
koud;disillusions
kraakt;disinclination
krab;disinclined
krabben;disingenuous
krachtig;disingenuously
kraken;disintegrate
krakend;disintegrated
krakende;disintegrates
kramp;disintegration
krampachtig;disinterest
krampend;disinterested
krankzinnig;dislike
krap;disliked
krasachtig;dislikes
krassen;disliking
kreng;dislocated
krengachtig;disloyal
kreukelt;disloyalty
kreupel;dismal
kreupels;dismally
kreupelt;dismalness
krijsen;dismay
krimpt;dismayed
kritiek;dismaying
kritieken;dismayingly
kritisch;dismissive
kronkelen;dismissively
kruimel;disobedience
kruipen;disobedient
kruipend;disobey
kruiperig;disoobedient
kruipt;disorder
kut;disordered
kutten;disorderly
kwaad;disorganized
kwaadaardig;disorient
kwaadaardigheid;disoriented
kwaadwillig;disown
kwaal;disparage
kwakzalver;disparaging
kwalijk;disparagingly
kwellen;dispensable
kwellend;dispirit
kwelling;dispirited
kwetsbaar;dispiritedly
kwetsend;dispiriting
kwijnen;displace
laag;displaced
laakbaar;displease
laat;displeased
lachertje;displeasing
lachwekkend;displeasure
laconisch;disproportionate
laf;disprove
lafaard;disputable
lafhartig;dispute
lakei;disputed
lakeien;disquiet
lam;disquieting
lambast;disquietingly
lame-eend;disquietude
lamlendig;disregard
lang;disregardful
langdradig;disreputable
langdurig;disrepute
langzaam;disrespect
langzaamst;disrespectable
langzamer;disrespectablity
last;disrespectful
laster;disrespectfully
lasteraar;disrespectfulness
lasteren;disrespecting
lasteringen;disrupt
lasterlijk;disruption
lasterlijke;disruptive
lasterlijkheid;diss
lastig;dissapointed
lastigvallen;dissappointed
lastigvallend;dissappointing
latentie;dissatisfaction
lauw;dissatisfactory
lawaai;dissatisfied
lawaaierig;dissatisfies
lawaaieriger;dissatisfy
lawine;dissatisfying
leedde;dissed
leeg;dissemble
leegte;dissembler
leidt;dissension
lek;dissent
lekkage;dissenter
lekken;dissention
lekkend;disservice
lekker;disses
lelijker;dissidence
lelijkheid;dissident
lelijkst;dissidents
letsel;dissing
leugen;dissocial
leugenaar;dissolute
leugenaars;dissolution
leugenachtig;dissonance
leugens;dissonant
levenloos;dissonantly
levensbedreigend;dissuade
liefdeloos;dissuasive
liggend;distains
lijden;distaste
lijdend;distasteful
lijder;distastefully
lijders;distort
lijdt;distorted
limiet;distortion
limieten;distorts
list;distract
listen;distracting
listig;distraction
listigheid;distraught
litteken;distraughtly
littekens;distraughtness
lokken;distress
lomp;distressed
losbandig;distressing
losbandige;distressingly
losbandigheid;distrust
losgeslagen;distrustful
loslaten;distrusting
louche;disturb
lui;disturbance
luiaard;disturbed
luiaardachtig;disturbing
luid;disturbingly
luider;disunity
luidruchtig;disvalue
lul;divergent
lusteloos;divisive
lusteloosheid;divisively
macaber;divisiveness
machteloos;dizzing
mafkees;dizzingly
mager;dizzy
malaise;doddering
malen;dodgey
maniak;dogged
maniakaal;doggedly
manie;dogmatic
manipulatie;doldrums
manipulatief;domineer
manipulators;domineering
manipuleren;donside
manisch;doom
marions;doomed
martelaarschap;doomsday
marteling;dope
matte;doubt
medeleven;doubtful
medelijden;doubtfully
medeplichtig;doubts
meedogenloos;douchbag
meedogenloosheid;douchebag
meeleven;douchebags
melancholie;downbeat
melodramatisch;downcast
meningsverschil;downer
mes;downfall
middelmatig;downfallen
middelmatigheid;downgrade
mijden;downhearted
minachten;downheartedly
minachtend;downhill
minachting;downside
minnares;downsides
mis;downturn
misbruik;downturns
misbruiken;drab
misbruikend;draconian
misbruikt;draconic
misdaad;drag
misdadig;dragged
misdadiger;dragging
mishandeling;dragoon
misleid;drags
misleiden;drain
misleidend;drained
misleidendheid;draining
misleiding;drains
mislukken;drastic
mislukking;drastically
mislukkingen;drawback
mislukt;drawbacks
mismoedig;dread
mismoedigheid;dreadful
misrekening;dreadfully
misselijk;dreadfulness
misselijkmakend;dreary
missen;dripped
mist;dripping
misvatting;drippy
misvattingen;drips
misverstaan;drones
misverstand;droop
misverstanden;droops
modder;dropout
moe;drop-out
moeien;dropouts
moeilijk;drop-outs
moeilijkheden;drought
moeilijkheid;drowning
moeizaam;drunk
moeras;drunkard
mokken;drunken
monster;dubious
monsterlijk;dubiously
monsterlijkheden;dubitable
monsterlijkheid;dud
moord;dull
moorddadig;dullard
moordenaar;dumb
mopperaar;dumbfound
mopperen;dump
mopperig;dumped
mopperiger;dumping
mopperigst;dumps
mopperkont;dunce
morsen;dungeon
muf;dungeons
muffe;dupe
muilen;dust
mysterie;dusty
mysterieus;dwindling
mystief;dying
mythe;earsplitting
naar;eccentric
naargeestig;eccentricity
nachtmerrie;effigy
nachtmerrieachtig;effrontery
nadeel;egocentric
nadelen;egomania
nadelig;egotism
nadenkend;egotistical
nadrukkelijk;egotistically
naïef;egregious
nalatig;egregiously
nalatigheid;election-rigger
neemt af;elimination
neerbuigen;emaciated
neerbuigend;emasculate
neerbuigendheid;embarrass
neergang;embarrassing
